Jurisdiction,Requirement,Category,Regulator,Frequency,Timing,Applicability,Notes
New Zealand,Non-resident Withholding Tax (NRWT),Tax,IRD,Per payment cycle,Per IRD schedule,Payers to non-residents,15% interest/royalties; 30% dividends (DTA reductions may apply)
New Zealand,Imputation return (IR4J),Tax,IRD,Annual,With IR4,Companies operating imputation credit account,Tracks ICA balance and credits attached to dividends
New Zealand,Special Purpose Financial Reports (SPFR),Financial Reporting,IRD,Annual,With IR4,Active companies above $30k income/expenditure thresholds,Minimum content set by IRD; not full GAAP
New Zealand,Audited GAAP financial statements,Financial Reporting,Companies Office,Annual,Within 5 months of balance date,NZ companies that are 'large' (assets > NZD 66M OR revenue > NZD 33M for 2 preceding periods),Filed with Companies Office; can opt out with 95% shareholder resolution
New Zealand,Audited GAAP financial statements (overseas-owned),Financial Reporting,Companies Office,Annual,Within 5 months of balance date,NZ subsidiaries of overseas companies or 25%+ overseas-held with assets > NZD 22M OR revenue > NZD 11M for 2 preceding periods,Lower threshold than purely domestic large companies
New Zealand,FMC reporting entity financial statements,Financial Reporting,FMA / Companies Office,Annual,Within 4 months of balance date,"FMC reporting entities (issuers, licensed managers, banks, insurers, building societies, credit unions)",Audited NZ IFRS required
New Zealand,Climate-related disclosures,Financial Reporting,XRB / FMA,Annual,With financial statements,"Climate Reporting Entities (large FMC entities, banks > $1B assets, insurers > $1B assets, listed equity/debt issuers)",NZ CS 1/2/3 standards apply
New Zealand,AML/CFT compliance programme & annual report,Financial Services,DIA / FMA / RBNZ (sector-specific supervisor),Annual,31 August reporting deadline,"Reporting entities — financial institutions, lawyers, accountants, real estate agents, high-value dealers",Includes risk assessment programme audit suspicious activity reporting
New Zealand,Financial Service Provider (FSP) registration,Financial Services,Companies Office (FSPR),Annual confirmation,Anniversary of registration,Anyone providing financial services in/from NZ,Most FSPs must also belong to a dispute resolution scheme
New Zealand,Financial Markets Conduct (FMC) licence,Financial Services,FMA,Ongoing,Per licence conditions,"Managed investment scheme managers, derivatives issuers, DIMS providers, crowdfunding/P2P, financial advice providers",Includes licence reporting and conduct obligations
New Zealand,Transfer pricing documentation,Tax,IRD,Annual (contemporaneous),Available on request; supports IR4,Entities with cross-border related-party transactions,Burden of proof on taxpayer; OECD-aligned local + master file accepted
New Zealand,Country-by-Country (CbC) reporting,Tax,IRD,Annual,12 months after FY end,NZ-headquartered groups with consolidated revenue > NZD 1.3B,OECD BEPS Action 13 requirement
New Zealand,Beneficial ownership records,Corporate,Companies Office (reforms in progress),Ongoing,Continuous,All companies,Maintain internally; public register reforms underway
United States,Federal income tax return (Form 1120),Tax,IRS,Annual,15th day of 4th month after FY end (15 April for calendar year),All C-corporations,Federal corporate rate 21%; Form 7004 extends 6 months but not payment
United States,Quarterly federal estimated taxes,Tax,IRS,Quarterly,15 April / 15 June / 15 September / 15 December,C-corps expecting to owe ≥ $500,Form 1120-W; underpayment triggers interest
United States,Form 941 (payroll tax return),Payroll Tax,IRS,Quarterly,Last day of month following quarter end,All employers,Reports federal income tax withheld FICA and Medicare
United States,Form 940 (FUTA),Payroll Tax,IRS,Annual,31 January,All employers,Federal unemployment tax — 6% on first $7000 of wages with state credit
United States,Federal tax deposits (payroll),Payroll Tax,IRS,Semiweekly or monthly,Per IRS deposit schedule,All employers,EFTPS required; schedule based on prior lookback period
United States,W-2 / W-3 forms,Payroll Tax,IRS / SSA,Annual,31 January (employee + SSA copy),All employers,Form W-3 transmits W-2s to SSA
United States,1099-NEC (contractor payments),Tax Reporting,IRS,Annual,31 January,Payers of ≥ $600 to non-employees,Filed with recipient and IRS; e-file mandatory at 10+ returns
United States,1099-MISC (other payments),Tax Reporting,IRS,Annual,28 February (paper) / 31 March (e-file),"Rents, royalties, prizes, attorney payments etc.",Recipient copy due 31 January
United States,1099-DIV / 1099-INT,Tax Reporting,IRS,Annual,31 January (recipient),Payers of dividends/interest,Filed with IRS by end of February/March
United States,Form 5472 (foreign-owned reporting),Tax,IRS,Annual,With Form 1120,25%+ foreign-owned US corporations and foreign-owned single-member LLCs,$25000 minimum penalty for non-filing — applies even with no income
United States,Form 6765 (R&D tax credit),Tax,IRS,Annual,With Form 1120,Companies with qualifying R&D expenses,Section 174 capitalisation rules also apply
United States,Form 5500 (employee benefit plans),Tax / Labour,IRS / DOL,Annual,Last day of 7th month after plan year end (31 July for calendar year),Sponsors of qualified retirement plans (401k etc.) and welfare plans,Filed via EFAST2; small plans may use 5500-SF
United States,Form 1094-C / 1095-C (ACA),Tax,IRS,Annual,28 Feb paper / 31 March e-file (IRS); 2 March (recipient),Applicable Large Employers (50+ FTE),Reports health coverage offered to full-time employees
United States,FBAR (FinCEN 114),Financial Reporting,FinCEN,Annual,15 April (auto-extended to 15 October),US persons/entities with foreign financial accounts > $10000 aggregate,Filed via BSA E-Filing system separately from tax return
United States,FATCA reporting (Form 8938),Tax,IRS,Annual,With Form 1120,US entities with specified foreign financial assets above thresholds,Different from FBAR; both may apply
United States,BOI report (Beneficial Ownership),Financial Reporting,FinCEN,Initial + on changes,30 days from registration,Foreign-formed entities registered to do business in US (domestic US entities EXEMPT under March 2025 interim final rule),Status fluid — final rule expected 2026; domestic exemption could change
United States,Delaware franchise tax + annual report,State Tax,Delaware Division of Corporations,Annual,1 March,All Delaware corporations,Minimum $400 (Authorised Shares method) or $400 (Assumed Par Value Capital method); minimum $50 annual report fee
United States,State income / franchise tax,State Tax,State revenue department,Annual + estimated quarterly,Generally aligned with federal but varies,Companies with nexus in any state with corporate income tax,No corporate income tax in NV SD WY; gross receipts states (TX OH WA OR) differ
United States,State annual report / Statement of Information,Corporate,Secretary of State (each state),Annual or biennial,Varies by state,All companies registered in that state,California: due annually on registration anniversary; failure to file = suspension
United States,Sales & use tax registration and returns,State Tax,State revenue department,Monthly / quarterly / annual,Varies by state and volume,Companies with sales tax nexus (post-Wayfair economic nexus thresholds),Each state has own threshold (typically $100k sales or 200 transactions); ~45 states + DC + localities
United States,State payroll tax withholding,Payroll Tax,State revenue department,Per pay cycle / quarterly,Varies by state,Employers in states with income tax,9 states have no personal income tax
United States,State Unemployment Insurance (SUI),Payroll Tax,State workforce agency,Quarterly,Last day of month following quarter,All employers,Rate varies by state and experience rating
United States,Workers' compensation insurance,State Tax,State (or private carrier),Annual policy + audit,Per state,All employers (varies by state and headcount),Mandatory in nearly all states; premium based on payroll and class codes
United States,Maintain financial records,Record Keeping,IRD/state,Ongoing,Continuous,All companies,Generally 7 years for tax records; longer for some items (e.g. property)
United States,Registered agent,Corporate,Secretary of State,Ongoing,Continuous,All registered companies,Required in state of incorporation and every state where qualified to do business
United States,Foreign qualification,Corporate,Secretary of State,Initial + ongoing,Before doing business in non-home state,Companies operating in states other than state of incorporation,Failure can void contracts and trigger back-taxes/penalties
United States,SEC reporting (if applicable),Financial Reporting,SEC,Quarterly + annual,10-Q within 40-45 days; 10-K within 60-90 days,Public reporting companies and exempt offerings under Reg A/D,Includes 8-K for material events
United States,SOX compliance (if applicable),Financial Reporting,SEC / PCAOB,Annual,With 10-K,SEC-reporting companies,Section 404 internal controls; auditor attestation for accelerated filers
United States,GAAP financial statements,Financial Reporting,Various (lenders/investors),Annual + interim,Per agreement,"Companies with debt covenants, investors, or M&A activity",US GAAP per FASB; audit/review/compilation level set by stakeholder
United States,AML/BSA program,Financial Services,FinCEN / federal banking regulators,Ongoing,Continuous,"Banks, MSBs, broker-dealers, investment advisers (phased in)",Customer identification SAR/CTR filings independent compliance officer
United States,1042-S (payments to foreign persons),Tax Reporting,IRS,Annual,15 March,Payers of US-source income to non-US persons,Withholding required at 30% (or treaty rate) on most US-source FDAP income
